央视频道,#genre#
CCTV-1综合,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2财经,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3综艺,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-4国际,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV05,http://140.249.30.171/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#http://101.71.255.229:6610/zjhs/2/10076/index.m3u8?virtualDomain=zjhs.live_hls.zte.com#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8#https://116.77.72.195/streams/d/cctv5/playlist.m3u8#http://121.31.30.90:8085/ysten-business/live/cctv-5/yst.m3u8#http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190617_t0x01q5a_original_r10/cctv5hd_4000.m3u8
CCTV-6高清,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-7军事农业,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9纪录,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10科教,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-11戏曲,http://ivi.bupt.edu.cn/hls/cctv11.m3u8
CCTV-12社会与法,http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-13新闻,http://ivi.bupt.edu.cn/hls/cctv13.m3u8
CCTV-14少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV-15音乐,http://ivi.bupt.edu.cn/hls/cctv15.m3u8
CCTV-5+体育,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8
CCTV-17农村农业,http://ivi.bupt.edu.cn/hls/cctv17hd.m3u8

卫星频道,#genre#
香港卫视 HD,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视 HD,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xianggangweishi_2_hd.m3u8
澳门卫视 HD,http://220.158.149.26:8182/hls/TV00000000000000000140@HHZT.m3u8
澳亚卫视 HD,http://stream.mastvnet.com/MASTV/sd/live.m3u8
莲花卫视 HD,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
澳门有线 HD1,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线 HD2,http://202.175.127.77/live/show/ch2/index.m3u8
澳门有线 HD3,http://202.175.127.77/live/show/ch3/index.m3u8
鳳凰中文,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
鳳凰資訊,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
鳳凰電影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
CHC电影,http://ivi.bupt.edu.cn/hls/chchd.m3u8
湖南卫视高清,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
北京卫视高清,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
北京文艺高清,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京影视高清,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京新闻高清,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
北京冬奥纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
浙江卫视高清,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
江苏卫视高清,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视高清,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
上海纪实高清,http://ivi.bupt.edu.cn/hls/docuchina.m3u8
金鹰纪实高清,http://ivi.bupt.edu.cn/hls/gedocu.m3u8
安徽卫视高清,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
黑龙江卫视高清,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
辽宁卫视高清,http://ivi.bupt.edu.cn/hls/lnhd.m3u8
深圳卫视高清,http://ivi.bupt.edu.cn/hls/szhd.m3u8
广东卫视高清,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
天津卫视高清,http://ivi.bupt.edu.cn/hls/tjhd.m3u8
湖北卫视高清,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
山东卫视高清,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
重庆卫视高清,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/schd.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxhd.m3u8
福建东南卫视,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8
广东体育,http://www.szdznet.cn/tv/tm2.php?id=GDSport
反馈交流群,https://www.bbsok.cf/wp-content/uploads/2019/12/video_2019-12-23_13-03-01.mp4
港台新闻,#genre#
TVB无线新闻台,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
TVB无线新闻台,https://hdl0901.plures.net/onlive/a195f07a-caaa-4c4d-930a-1156e791cde.flv
TVB无线新闻台,http://185.180.221.194:8278/Inews/playlist.m3u8?tid=56699937&ct=18205&tsum=6a2b767494bda26fa75d52fee20a26c2
TVBS新聞,vjms://58.215.133.194:8500:3502/live/cid=348#vjms://58.215.133.161:8500/live/cid=348#vjms://58.215.133.185:8500:3502/live/cid=348
TVBS新聞,P2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts
有线新闻台,http://testalicdn2.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-2.m3u8
有线新闻台,https://ottproxy2.mott.tv/livehls/MOB-SCC/03.m3u8?sessionID=XNoSKsoyhu+3ZzGxIn6l1Azz
凤凰香港,p8p://0198.02686.cc:16871/5d1a69d6000505cd11be625a06b24e50.ts
凤凰卫视,p8p://0198.02686.cc:16871/5d1a69d80007b1db11be6ad9e2339543.ts
凤凰卫视,rtmp://58.200.131.2:1935/livetv/fhzw
凤凰卫视,http://liveali.ifeng.com/live/FHZW.flv
凤凰资讯,p8p://0198.02686.cc:16871/5d1a69d90003dbfb11be6dc698fb9973.ts
凤凰资讯,rtmp://58.200.131.2:1935/livetv/fhzx
凤凰资讯,http://liveali.ifeng.com/live/FHZX.flv
非凡新聞,vjms://58.215.133.194:8500:3502/live/cid=443#vjms://58.215.133.161:8500/live/cid=443#vjms://58.215.133.185:8500:3502/live/cid=443
非凡新聞,mitv://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
非凡新聞,p8p://0198.02686.cc:16871/5d1a69d500091c6b11be5f7e1276fa82.ts
三立新聞,vjms://58.215.133.194:8500:3502/live/cid=352#vjms://58.215.133.161:8500/live/cid=352#vjms://58.215.133.161:8500:3502/live/cid=352
三立新聞,mitv://190.2.146.92:18912/5c7249be000b87931d5796ff51e62b02.ts
東森新聞,vjms://58.215.133.194:8500:3502/live/cid=340#vjms://58.215.133.161:8500/live/cid=340#vjms://58.215.133.185:8500:3502/live/cid=340
東森新聞,http://104.250.154.42:8080/ZZ_dongsenxinwen/ZZ_dongsenxinwen.m3u8
東森新聞,P2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
東森新聞,mitv://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
中天新聞,vjms://58.215.133.194:8500:3502/live/cid=407#vjms://58.215.133.161:8500/live/cid=407
中天新聞,mitv://190.2.146.92:18912/5c7249b6000641f71d5776673c1d2f63.ts
中天新聞,vjms://58.215.133.185:8500:3502/live/cid=407
年代新聞,vjms://58.215.133.194:8500:3502/live/cid=455#vjms://58.215.133.161:8500/live/cid=455#vjms://58.215.133.161:8500:3502/live/cid=455
年代新聞,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
壹新聞,mitv://51.79.41.138:18912/5bdbf3a3000abb1bd2173d393f733744.ts.ts
壹新聞,p8p://0198.02686.cc:16871/5d1a69b6000b8d0a11bde706a99c146a.ts
壹新聞,vjms://58.215.133.161:8500/live/cid=445
寰宇新闻,p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
民視新聞,p8p://0198.02686.cc:16871/5d1a69c50008f95211be20f5ac2747e5.ts
民視新聞,vjms://58.215.133.185:8500:3502/live/cid=454
民視新聞,vjms://58.215.133.161:8500/live/cid=454
東森財經新聞,vjms://58.215.133.194:8500:3502/live/cid=456#vjms://58.215.133.161:8500/live/cid=456#vjms://58.215.133.185:8500:3502/live/cid=456
東森財經新聞,p8p://0198.02686.cc:16871/5d1a69c300063ae211be1871800a9ae8.ts
寰宇财经台,p8p://0198.02686.cc:16871/5d1a69bb00034ddd11bdf8710f58e2f3.ts
耀才财经台,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/playlist.m3u8
澳亚卫视,vjms://58.215.133.161:8500/live/cid=337
KHS,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
RTHK31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-p.m3u8
RHK32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
CNBC,vjms://58.215.133.161:8500/live/cid=98#vjms://58.215.133.185:8500:3502/live/cid=98
CNBC,p8p://0198.02686.cc:16871/5d1a69720002ca3711bcdb2830f420fe.ts
CNBC,vjms://23.237.33.155:8500:3502/live/cid=98
CNN,vjms://58.215.133.161:8500/live/cid=428#vjms://58.215.133.185:8500:3502/live/cid=428
CNN,p8p://0198.02686.cc:16871/5d1a6972000da8dd11bcddf043353558.ts
CNN,vjms://23.237.33.155:8500:3502/live/cid=428
BBC,vjms://58.215.133.161:8500/live/cid=418#vjms://58.215.133.185:8500:3502/live/cid=418
BBC,vjms://58.215.133.194:8500:3502/live/cid=418
半岛新闻,http://80.245.105.21:8006/4gtv/sd/litv-ftv10.m3u8
半岛新闻,http://english.streaming.aljazeera.net/aljazeera/english2/index1296.m3u8#http://english.streaming.aljazeera.net/aljazeera/english2/index.m3u8
新马 Ⅰ 亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8#https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8


港台影视,#genre#
HBO原创电影,vjms://58.215.133.194:8500:3502/live/cid=436#vjms://58.215.133.161:8500/live/cid=436#vjms://58.215.133.185:8500:3502/live/cid=436
HBO家庭,vjms://58.215.133.194:8500:3502/live/cid=181#vjms://58.215.133.161:8500/live/cid=181#vjms://58.215.133.185:8500:3502/live/cid=181
HBO强档,vjms://58.215.133.194:8500:3502/live/cid=238#vjms://58.215.133.161:8500/live/cid=238#vjms://58.215.133.185:8500:3502/live/cid=238
HBO,vjms://58.215.133.194:8500:3502/live/cid=261#vjms://58.215.133.161:8500/live/cid=261#vjms://58.215.133.185:8500:3502/live/cid=261
HBO,mitv://190.2.146.92:18912/5c7249dd000ca2101d58106551ff3ed4.ts
东森电影,http://104.250.154.42:8080/ZZ_dongsendianying/ZZ_dongsendianying.m3u8
东森电影,p8p://0198.02686.cc:16871/5d1a69af0009735f11bdcb2402d2abda.ts
东森电影,mitv://190.2.146.92:18912/5c7249d3000cb8ea1d57e9650d7148b7.ts
东森电影,p2p://51.79.41.138:18912/5c7249d3000cb8ea1d57e9650d7148b7.ts
靖天电影台,p8p://0198.02686.cc:16871/5d1a69d4000d791711be5cb4cbc75c73.ts
龙华经典,p2p://fccsovh.pvbox.live:18912/5b14090b0001269c17d0ee93023202c3
龙华影剧,P2p://51.79.41.138:18912/5b1408f2000aaf8c17d08f5c001549e8.ts
美亚电影,P2p://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
美亚电影,mitv://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
美亚电影,p2p://51.79.41.138:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
星卫电影台,mitv://190.2.146.92:18912/5c724a05000626a61d58aaff0c3f3175.ts
星卫电影台,p2p://51.79.41.138:18912/5c724a05000626a61d58aaff0c3f3175.ts
衛視電影,mitv://190.2.146.92:18912/5c7249cf00095b611d57d8da587f1c48.ts
衛視電影,p8p://0198.02686.cc:16871/5d1a69d0000743f711be4b7d2b320c30.ts
纬来电影台,P2p://190.2.146.92:18912/5c7249d80003096d1d57fa6c33601be9.ts
纬来电影台,p8p://0198.02686.cc:16871/5d1a69ce0005e8e911be435423cf0509.ts
纬来电影台,p2p://170.178.164.250:6141/5b448afc0007f4650004373eda7b4dd8.ts
FOX电影,vjms://58.215.133.194:8500:3502/live/cid=94#vjms://58.215.133.161:8500/live/cid=94#vjms://58.215.133.185:8500:3502/live/cid=94
FOX动作电影,P2p://51.79.41.138:18912/5b7267ae000b9c6c35cc884079c70164.ts
FOX动作电影,http://104.250.154.42:8080/ZZ_foxaction/ZZ_foxaction.m3u8
TVB星河,msc://CXHMovie
TVB星河,p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts
TVB韩剧台,msc://CKDrama5
華藝影剧台,p8p://0198.02686.cc:16871/5d1a69d700008c5a11be651dc2bd3d52.ts
三立戏剧台,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts
纬来电影,p2p://51.79.41.138:18912/5c7249d80003096d1d57fa6c33601be9.ts
纬来戏剧,vjms://58.215.133.161:8500/live/cid=137#vjms://58.215.133.194:8500:3502/live/cid=137#vjms://58.215.133.184:8500:3502/live/cid=137
纬来戏剧,vjms://58.215.133.185:8500:3502/live/cid=137
EYETV戏剧台,p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts
大爱,mitv://190.2.146.92:18912/5c7248470009cd451d51ddb92c7476f0.ts
大爱二台,p8p://0198.02686.cc:16871/5d1a69b8000386b311bdecc8d9c8c96a.ts
凤凰电影台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
凤凰电影台,rtmp://58.200.131.2:1935/livetv/fhdy
凤凰电影台,https://116.77.72.195/streams/d/fhdy/playlist.m3u8
WarnerTV,http://192.200.120.82:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
AXN,vjms://58.215.133.194:8500:3502/live/cid=2#vjms://58.215.133.161:8500/live/cid=2#vjms://58.215.133.185:8500:3502/live/cid=2#vjms://58.215.133.184:8500:3502/live/cid=2
FOX1,vjms://58.215.133.194:8500:3502/live/cid=97#vjms://58.215.133.161:8500/live/cid=97
FX,p8p://0198.02686.cc:16871/5d1a69a50009208511bda3ff8356848f.ts
BLUEANT,p8p://0198.02686.cc:16871/5d1a69a60004767211bda6b5be685208.ts
好莱坞电影,mitv://190.2.146.92:18912/5c7249e2000125281d5820ff23a165d1.ts
CHC高清电影HD,rtmp://58.200.131.2:1935/livetv/chchd
CHC家庭电影,rtmp://58.200.131.2:1935/livetv/chctv
CHC动作电影,rtmp://58.200.131.2:1935/livetv/chcatv
反馈交流群,https://www.bbsok.cf/wp-content/uploads/2019/12/video_2019-12-23_13-03-01.mp4
港台娱乐,#genre#
TVB J2,p8p://0198.02686.cc:16871/5d1a6990000c457811bd52c53e48f6b9.ts
TVB明珠台,p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts
TVB明珠台,vjms://23.237.33.155:8500:3502/live/cid=367
